Id,Card,Card type,Monster type,Attribute,Type,Level,ATK,DEF 
5059,Gearfried the Iron Knight,Monster,Effect,EARTH,Warrior,4,1800,1600
5060,Humanoid Slime,Monster,Normal,WATER,Aqua,4,800,2000
5061,Worm Drake,Monster,Normal,EARTH,Reptile,4,1400,1500
5062,Humanoid Worm Drake,Monster,Fusion,WATER,Aqua,7,2200,2000
5063,Revival Jam,Monster,Effect,WATER,Aqua,4,1500,500
5065,Flying Fish,Monster,Normal,WIND,Fish,4,800,500
5066,Amphibian Beast,Monster,Normal,WATER,Fish,6,2400,2000
5067,Rocket Warrior,Monster,Effect,LIGHT,Warrior,4,1500,1300
5069,The Legendary Fisherman,Monster,Effect,WATER,Warrior,5,1850,1600
5072,Robolady,Monster,Normal,EARTH,Machine,3,450,900
5073,Roboyarou,Monster,Normal,EARTH,Machine,3,900,450
5079,Lightning Conger,Monster,Normal,WATER,Thunder,3,350,750
5086,Spherous Lady,Monster,Normal,EARTH,Rock,3,400,1400
5090,Shining Abyss,Monster,Normal,LIGHT,Fairy,4,1600,1800
5091,Archfiend of Gilfer,Monster,Effect,DARK,Fiend,6,2200,2500
5092,Gadget Soldier,Monster,Normal,FIRE,Machine,6,1800,2000
5093,Grand Tiki Elder,Monster,Normal,DARK,Fiend,4,1500,800
5094,The Masked Beast,Monster,Ritual,DARK,Fiend,8,3200,1800
5095,Melchid the Four-Face Beast,Monster,Normal,DARK,Fiend,4,1500,1200
5096,Nuvia the Wicked,Monster,Effect,DARK,Fiend,4,2000,800
5115,Insect Monster Token,Monster,Token,EARTH,Insect,1,100,100
5136,Girochin Kuwagata,Monster,Normal,WIND,Insect,4,1700,1000
5137,Hayabusa Knight,Monster,Effect,EARTH,Warrior,3,1000,700
5138,Bombardment Beetle,Monster,Effect,WIND,Insect,2,400,900
5139,4-Starred Ladybug of Doom,Monster,Effect,WIND,Insect,3,800,1200
5140,Gradius,Monster,Normal,LIGHT,Machine,4,1200,800
5141,Red-Moon Baby,Monster,Effect,DARK,Zombie,3,700,1000
5142,Mad Sword Beast,Monster,Effect,EARTH,Dinosaur,4,1400,1200
5143,Skull Mariner,Monster,Normal,WATER,Warrior,4,1600,900
5144,The All-Seeing White Tiger,Monster,Normal,WIND,Beast,3,1300,500
5145,Goblin Attack Force,Monster,Effect,EARTH,Warrior,4,2300,0
5146,Island Turtle,Monster,Normal,WATER,Aqua,4,1100,2000
5147,Wingweaver,Monster,Normal,LIGHT,Fairy,7,2750,2400
5148,Science Soldier,Monster,Normal,DARK,Warrior,3,800,800
5149,Souls of the Forgotten,Monster,Normal,DARK,Fiend,2,900,200
5150,Dokuroyaiba,Monster,Normal,FIRE,Fiend,3,1000,400
5154,Army Ant Token,Monster,Token,EARTH,Insect,4,500,1200
5171,Dizzy Tiger,Monster,Effect,EARTH,Beast-Warrior,4,1800,600
5172,Dizzy Angel,Monster,Effect,EARTH,Fairy,4,1800,400
5175,Swordsman Of Doom Lithmus,Monster,Ritual,DARK,Warrior,8,0,0
5177,Maiden in Love,Monster,Effect,LIGHT,Spellcaster,2,400,300
5185,Archfiend Matador,Monster,Ritual,DARK,Warrior,6,0,0
5193,Lady Panther,Monster,Effect,EARTH,Beast-Warrior,4,1400,1300
5194,The Unfriendly Amazon,Monster,Effect,EARTH,Warrior,4,2000,1000
5195,Amazon Archer,Monster,Effect,EARTH,Warrior,4,1400,1000
5196,Crimson Sentry,Monster,Effect,FIRE,Warrior,4,1500,1200
5197,Fire Princess,Monster,Effect,FIRE,Pyro,4,1300,1500
5198,Lady Assailant of Flames,Monster,Effect,FIRE,Pyro,4,1500,1000
5199,Fire Sorcerer,Monster,Effect,FIRE,Spellcaster,4,1000,1500
5200,Spirit of the Breeze,Monster,Effect,WIND,Fairy,3,0,1800
5201,Dancing Fairy,Monster,Effect,WIND,Fairy,4,1700,1000
5202,Fairy Guardian,Monster,Effect,WIND,Fairy,3,1000,1000
5203,Empress Mantis,Monster,Normal,WIND,Insect,6,2200,1400
5204,Cure Mermaid,Monster,Effect,WATER,Fish,4,1500,800
5205,Hysteric Fairy,Monster,Effect,LIGHT,Fairy,4,1800,500
5206,Bio-Mage,Monster,Normal,LIGHT,Fairy,3,1150,1000
5207,The Forgiving Maiden,Monster,Effect,LIGHT,Fairy,4,850,2000
5208,St. Joan,Monster,Fusion,LIGHT,Fairy,7,2800,2000
5209,Marie the Fallen One,Monster,Effect,DARK,Fiend,5,1700,1200
5219,The Portrait's Secret,Monster,Normal,EARTH,Fiend,4,1200,1500
5220,The Gross Ghost of Fled Dreams,Monster,Normal,DARK,Fiend,4,1300,1800
5221,Headless Knight,Monster,Normal,EARTH,Fiend,4,1450,1700
5222,Dark Necrofear,Monster,Effect,DARK,Fiend,8,2200,2800
5226,Earthbound Spirit,Monster,Normal,EARTH,Fiend,4,500,2000
5229,The Earl of Demise,Monster,Normal,DARK,Fiend,5,2000,700
5230,Dark Sage,Monster,Effect,DARK,Spellcaster,9,2800,3200
5238,Ancient Lamp,Monster,Effect,WIND,Spellcaster,3,900,1400
5239,Cyber Harpie Lady,Monster,Effect,WIND,Winged Beast,4,1800,1300
5242,Mystical Beast Serket,Monster,Effect,EARTH,Fairy,6,2500,2000
5243,Swift Gaia the Fierce Knight,Monster,Effect,DARK,Warrior,7,2300,2100
5244,Obnoxious Celtic Guard,Monster,Effect,EARTH,Warrior,4,1400,1200
5245,Zombyra the Dark,Monster,Effect,DARK,Warrior,4,2100,500
5247,Jowgen the Spiritualist,Monster,Effect,LIGHT,Spellcaster,3,200,1300
5248,Kycoo the Ghost Destroyer,Monster,Effect,DARK,Spellcaster,4,1800,700
5249,Summoner of Illusions,Monster,Effect,LIGHT,Spellcaster,3,800,900
5250,Bazoo the Soul-Eater,Monster,Effect,EARTH,Beast,4,1600,900
5251,Soul of Purity and Light,Monster,Effect,LIGHT,Fairy,6,2000,1800
5252,Spirit of Flames,Monster,Effect,FIRE,Pyro,4,1700,1000
5253,Aqua Spirit,Monster,Effect,WATER,Aqua,4,1600,1200
5254,The Rock Spirit,Monster,Effect,EARTH,Rock,4,1700,1000
5255,Garuda the Wind Spirit,Monster,Effect,WIND,Winged Beast,4,1600,1200
5256,Gilasaurus,Monster,Effect,EARTH,Dinosaur,3,1400,400
5257,Tornado Bird,Monster,Effect,WIND,Winged Beast,4,1100,1000
5258,Dreamsprite,Monster,Effect,LIGHT,Plant,2,300,200
5259,Supply,Monster,Effect,EARTH,Warrior,4,1300,800
5260,Maryokutai,Monster,Effect,WATER,Aqua,3,900,900
5284,Amazoness Swords Woman,Monster,Effect,EARTH,Warrior,4,1500,1600
5285,Makyura the Destructor,Monster,Effect,DARK,Warrior,4,1600,1200
5291,Amazoness Chain Master,Monster,Effect,EARTH,Warrior,4,1500,1300
5292,Viser Des,Monster,Effect,DARK,Fiend,4,500,1200
5295,Amazoness Fighter,Monster,Effect,EARTH,Warrior,4,1500,1300
5300,Byser Shock,Monster,Effect,DARK,Fiend,5,800,600
5301,Dark Ruler Ha Des,Monster,Effect,DARK,Fiend,6,2450,1600
5302,Dark Balter the Terrible,Monster,Fusion,DARK,Fiend,5,2000,1200
5303,Lesser Fiend,Monster,Effect,DARK,Fiend,5,2100,1000
5304,Possessed Dark Soul,Monster,Effect,DARK,Fiend,3,1200,800
5305,Winged Minion,Monster,Effect,DARK,Fiend,2,700,700
5306,Skull Knight #2,Monster,Effect,DARK,Fiend,3,1000,1200
5307,Ryu-Kishin Clown,Monster,Effect,DARK,Fiend,2,800,500
5308,Twin-Headed Wolf,Monster,Effect,DARK,Fiend,4,1500,1000
5309,Opticlops,Monster,Normal,DARK,Fiend,4,1800,1700
5316,Freed the Matchless General,Monster,Effect,EARTH,Warrior,5,2300,1700
5317,Throwstone Unit,Monster,Effect,EARTH,Warrior,4,900,2000
5318,Marauding Captain,Monster,Effect,EARTH,Warrior,3,1200,400
5319,Ryu Senshi,Monster,Fusion,EARTH,Warrior,6,2000,1200
5320,Warrior Dai Grepher,Monster,Normal,EARTH,Warrior,4,1700,1600
5321,Mysterious Guard,Monster,Effect,EARTH,Spellcaster,3,800,1200
5322,Frontier Wiseman,Monster,Effect,EARTH,Spellcaster,3,1600,800
5323,Exiled Force,Monster,Effect,EARTH,Warrior,4,1000,1000
5324,The Hunter with 7 Weapons,Monster,Effect,EARTH,Warrior,3,1000,600
5325,Shadow Tamer,Monster,Effect,EARTH,Warrior,3,800,700
5326,Dragon Manipulator,Monster,Effect,EARTH,Warrior,3,700,800
5333,Tyrant Dragon,Monster,Effect,FIRE,Dragon,8,2900,2500
5334,Spear Dragon,Monster,Effect,WIND,Dragon,4,1900,0
5335,Spirit Ryu,Monster,Effect,WIND,Dragon,4,1000,1000
5336,The Dragon dwelling in the Cave,Monster,Normal,WIND,Dragon,4,1300,2000
5337,Lizard Soldier,Monster,Normal,WIND,Dragon,3,1100,800
5338,Fiend Skull Dragon,Monster,Fusion,WIND,Dragon,5,2000,1200
5339,Cave Dragon,Monster,Effect,WIND,Dragon,4,2000,100
5340,Gray Wing,Monster,Effect,WIND,Dragon,3,1300,700
5341,Troop Dragon,Monster,Effect,WIND,Dragon,2,700,800
5349,Luster Dragon #2,Monster,Normal,WIND,Dragon,6,2400,1400
5351,Keldo,Monster,Effect,EARTH,Fairy,4,1200,1600
5353,Kaiser Glider,Monster,Effect,LIGHT,Dragon,6,2400,2200
5356,Mudora,Monster,Effect,EARTH,Fairy,4,1500,1800
5359,Des Feral Imp,Monster,Effect,DARK,Reptile,4,1600,1800
5361,Kelbek,Monster,Effect,EARTH,Fairy,4,1500,1800
5363,Zolga,Monster,Effect,EARTH,Fairy,4,1700,1200
5366,Agido,Monster,Effect,EARTH,Fairy,4,1500,1300
5368,Kuriboh Token,Monster,Token,DARK,Fiend,1,300,200
5369,Sheep Token,Monster,Token,EARTH,Beast,1,0,0
5371,Fiber Jar,Monster,Effect,EARTH,Plant,3,500,500
5372,Gradius' Option,Monster,Effect,LIGHT,Machine,1,?,?
5373,Maharaghi,Monster,Effect,EARTH,Rock,4,1200,1700
5374,Inaba White Rabbit,Monster,Effect,EARTH,Beast,3,700,500
5375,Yata-Garasu,Monster,Effect,WIND,Fiend,2,200,100
5376,Susa Soldier,Monster,Effect,EARTH,Thunder,4,2000,1600
5377,Yamata Dragon,Monster,Effect,FIRE,Dragon,7,2600,3100
5378,Great Long Nose,Monster,Effect,DARK,Beast-Warrior,5,1900,1700
5379,Otohime,Monster,Effect,LIGHT,Spellcaster,3,0,100
5380,Hino-Kagu-Tsuchi,Monster,Effect,FIRE,Pyro,8,2800,2900
5381,Asura Priest,Monster,Effect,LIGHT,Fairy,4,1700,1200
5382,Fushi No Tori,Monster,Effect,FIRE,Winged Beast,4,1200,0
5383,Super Robolady,Monster,Fusion,EARTH,Machine,6,1200,500
5384,Super Roboyarou,Monster,Fusion,EARTH,Machine,6,1200,500
5408,Des Volstgalph,Monster,Effect,EARTH,Dragon,6,2200,1700
5409,Kaiser Sea Horse,Monster,Effect,LIGHT,Sea Serpent,4,1700,1650
5410,Vampire Lord,Monster,Effect,DARK,Zombie,5,2000,1500
5411,Gora Turtle,Monster,Effect,WATER,Aqua,3,1100,1100
5412,Sasuke Samurai,Monster,Effect,WIND,Warrior,2,500,800
5413,Poison Mummy,Monster,Effect,EARTH,Zombie,4,1000,1800
5414,Dark Dust Spirit,Monster,Effect,EARTH,Zombie,6,2200,1800
5415,Royal Keeper,Monster,Effect,EARTH,Zombie,4,1600,1700
5416,Wandering Mummy,Monster,Effect,EARTH,Zombie,4,1500,1500
5417,Great Dezard,Monster,Effect,DARK,Spellcaster,6,1900,2300
5418,Swarm of Scarabs,Monster,Effect,DARK,Insect,3,500,1000
5419,Swarm of Locusts,Monster,Effect,DARK,Insect,3,1000,500
5420,Giant Axe Mummy,Monster,Effect,EARTH,Zombie,5,1700,2000
5421,8-Claws Scorpion,Monster,Effect,DARK,Insect,2,300,200
5422,Guardian Sphinx,Monster,Effect,EARTH,Rock,5,1700,2400
5423,Pyramid Turtle,Monster,Effect,EARTH,Zombie,4,1200,1400
5424,Dice Jar,Monster,Effect,LIGHT,Rock,3,200,300
5425,Dark Scorpion Burglars,Monster,Effect,DARK,Warrior,4,1000,1000
5426,Don Zaloog,Monster,Effect,DARK,Warrior,4,1400,1500
5427,Des Lacooda,Monster,Effect,EARTH,Zombie,3,500,600
5428,Fushioh Richie,Monster,Effect,DARK,Zombie,7,2600,2900
5429,Cobraman Sakuzy,Monster,Effect,EARTH,Reptile,3,800,1400
5450,Toon Dark Magician Girl,Monster,Effect,DARK,Spellcaster,6,2000,1700
5451,Gilford the Lightning,Monster,Effect,LIGHT,Warrior,8,2800,1400
5452,Exarion Universe,Monster,Effect,DARK,Beast-Warrior,4,1800,1900
5453,Legendary Fiend,Monster,Effect,DARK,Fiend,6,1500,1800
5454,Wicked Token,Monster,Token,DARK,Fiend,4,1000,1000
5455,Sheep Token,Monster,Token,EARTH,Beast,1,0,0
5456,Sheep Token,Monster,Token,EARTH,Beast,1,0,0
5457,Sheep Token,Monster,Token,EARTH,Beast,1,0,0
5475,Toon Masked Sorcerer,Monster,Effect,DARK,Spellcaster,4,900,1400
5476,Toon Gemini Elf,Monster,Effect,EARTH,Spellcaster,4,1900,900
5477,Toon Cannon Soldier,Monster,Effect,DARK,Machine,4,1400,1300
5478,Toon Goblin Attack Force,Monster,Effect,EARTH,Warrior,4,2300,0
5482,Puppet Master,Monster,Effect,DARK,Fiend,6,0,0
5483,Gernia,Monster,Effect,DARK,Zombie,4,1300,1200
5484,Newdoria,Monster,Effect,DARK,Fiend,4,1200,800
5485,Lord Poison,Monster,Effect,WATER,Plant,4,1500,1000
5488,Blade Knight,Monster,Effect,LIGHT,Warrior,4,1600,1000
5489,Helpoemer,Monster,Effect,DARK,Fiend,5,2000,1400
5491,Gil Garth,Monster,Normal,DARK,Fiend,4,1800,1200
5496,Lava Golem,Monster,Effect,FIRE,Fiend,8,3000,2500
5499,Dark Jeroid,Monster,Effect,DARK,Fiend,4,1200,1500
5501,Master of Dragon Soldier,Monster,Fusion,LIGHT,Dragon,12,5000,5000
5502,F.G.D.,Monster,Fusion,DARK,Dragon,12,5000,5000
5503,Queen's Knight,Monster,Normal,LIGHT,Warrior,4,1500,1600
5504,X-Head Cannon,Monster,Normal,LIGHT,Machine,4,1800,1500
5506,Master Kyonshee,Monster,Normal,EARTH,Zombie,4,1750,1000
5507,Kabazauls,Monster,Normal,WATER,Dinosaur,4,1700,1500
5508,Inpachi,Monster,Normal,EARTH,Machine,4,1600,1900
5509,Gravekeeper's Spy,Monster,Effect,DARK,Spellcaster,4,1200,2000
5510,Gravekeeper's Curse,Monster,Effect,DARK,Spellcaster,3,800,800
5511,Gravekeeper's Guard,Monster,Effect,DARK,Spellcaster,4,1000,1900
5512,Gravekeeper's Spear Soldier,Monster,Effect,DARK,Spellcaster,4,1500,1000
5513,Gravekeeper's Vassal,Monster,Effect,DARK,Spellcaster,3,700,500
5514,Gravekeeper's Watcher,Monster,Effect,DARK,Spellcaster,4,1000,1000
5515,Gravekeeper's Chief,Monster,Effect,DARK,Spellcaster,5,1900,1200
5516,Gravekeeper's Cannonholder,Monster,Effect,DARK,Spellcaster,4,1400,1200
5517,Gravekeeper's Assailant,Monster,Effect,DARK,Spellcaster,4,1500,1500
5518,A Man with Wdjat,Monster,Effect,DARK,Spellcaster,4,1600,1600
5519,Mystical Knight of Jackal,Monster,Effect,LIGHT,Beast-Warrior,7,2700,1200
5520,A Cat of Ill Omen,Monster,Effect,DARK,Beast,2,500,300
5521,Yomi Ship,Monster,Effect,WATER,Aqua,3,800,1400
5522,Winged Sage Falcos,Monster,Effect,WIND,Winged Beast,4,1700,1200
5523,An Owl of Luck,Monster,Effect,WIND,Winged Beast,2,300,500
5524,Charm of Shabti,Monster,Effect,EARTH,Rock,1,100,100
5525,Cobra Jar,Monster,Effect,EARTH,Reptile,2,600,300
5526,Spirit Reaper,Monster,Effect,DARK,Zombie,3,300,200
5527,Nightmare Horse,Monster,Effect,DARK,Zombie,2,500,400
5528,Reaper on the Nightmare,Monster,Fusion,DARK,Zombie,5,800,600
5552,Y-Dragon Head,Monster,Effect,LIGHT,Machine,4,1500,1600
5553,XY-Dragon Cannon,Monster,Fusion,LIGHT,Machine,6,2200,1900
5555,Z-Metal Tank,Monster,Effect,LIGHT,Machine,4,1500,1300
5556,XYZ-Dragon Cannon,Monster,Fusion,LIGHT,Machine,8,2800,2600
5558,King's Knight,Monster,Effect,LIGHT,Warrior,4,1600,1400
5559,Jack's Knight,Monster,Normal,LIGHT,Warrior,5,1900,1000
5561,Goblin Zombie,Monster,Effect,DARK,Zombie,4,1100,1050
5562,Drillago,Monster,Effect,DARK,Machine,4,1600,1100
5564,Lekunga,Monster,Effect,WATER,Plant,4,1700,500
5566,Lekunga Token,Monster,Token,WATER,Plant,2,700,700
5578,People Running About,Monster,Normal,FIRE,Pyro,2,600,600
5579,Oppressed People,Monster,Normal,WATER,Aqua,1,400,2000
5580,United Resistance,Monster,Normal,WIND,Thunder,3,1000,400
5581,Dark Blade,Monster,Normal,DARK,Warrior,4,1800,1500
5582,Pitch-Dark Dragon,Monster,Effect,DARK,Dragon,3,900,600
5583,Kiryu,Monster,Effect,DARK,Dragon,5,2000,1500
5584,Decayed Commander,Monster,Effect,EARTH,Zombie,4,1000,1500
5585,Zombie Tiger,Monster,Effect,EARTH,Zombie,3,1400,1600
5586,Giant Orc,Monster,Effect,DARK,Fiend,4,2200,0
5587,Second Goblin,Monster,Effect,DARK,Fiend,1,100,100
5588,Vampire Orchis,Monster,Effect,EARTH,Plant,4,1700,1000
5589,Des Dendle,Monster,Effect,EARTH,Plant,4,300,2000
5590,Burning Beast,Monster,Effect,FIRE,Pyro,4,1500,1000
5591,Freezing Beast,Monster,Effect,WATER,Aqua,4,1500,1000
5592,Union Rider,Monster,Effect,WIND,Machine,2,1000,1000
5593,D.D. Crazy Beast,Monster,Effect,EARTH,Beast,3,1400,1400
5594,Spell Canceller,Monster,Effect,WIND,Machine,5,1800,1600
5596,Helping Robo For Combat,Monster,Effect,LIGHT,Machine,4,1600,0
5597,Dimension Jar,Monster,Effect,DARK,Machine,2,200,200
5598,Great Phantom Thief,Monster,Effect,EARTH,Spellcaster,3,1000,1000
5599,Roulette Barrel,Monster,Effect,LIGHT,Machine,4,1000,2000
5600,Paladin of White Dragon,Monster,Ritual,LIGHT,Dragon,4,1900,1200
5625,XZ-Tank Cannon,Monster,Fusion,LIGHT,Machine,6,2400,2100
5626,YZ-Tank Dragon,Monster,Fusion,LIGHT,Machine,6,2100,2200
5628,Dark Paladin,Monster,Fusion,DARK,Spellcaster,8,2900,2400
5634,Clone Token,Monster,Token,,?,,?,?
5635,Wicked Plant Token,Monster,Token,EARTH,Plant,1,800,800
5640,Mirage Token,Monster,Token,,?,,?,?
5641,Great Angus,Monster,Normal,FIRE,Beast,4,1800,600
5642,Aitsu,Monster,Normal,FIRE,Fairy,5,100,100
5643,Sonic Duck,Monster,Normal,WIND,Winged Beast,3,1700,700
5644,Luster Dragon,Monster,Normal,WIND,Dragon,4,1900,1600
5645,Amazoness Paladin,Monster,Effect,EARTH,Warrior,4,1700,300
5646,Amazoness Blowpiper,Monster,Effect,EARTH,Warrior,3,800,1500
5647,Amazoness Tiger,Monster,Effect,EARTH,Beast,4,1100,1500
5648,Skilled White Magician,Monster,Effect,LIGHT,Spellcaster,4,1700,1900
5649,Skilled Dark Magician,Monster,Effect,DARK,Spellcaster,4,1900,1700
5650,Apprentice Magician,Monster,Effect,DARK,Spellcaster,2,400,800
5651,Old Vindictive Magician,Monster,Effect,DARK,Spellcaster,2,450,600
5652,Chaos Command Magician,Monster,Effect,LIGHT,Spellcaster,6,2400,1900
5653,Magical Marionette,Monster,Effect,DARK,Spellcaster,5,2000,1000
5654,Pixie Knight,Monster,Effect,LIGHT,Spellcaster,2,1300,200
5655,Breaker the Magical Warrior,Monster,Effect,DARK,Spellcaster,4,1600,1000
5656,Magical Plant Mandragola,Monster,Effect,DARK,Spellcaster,2,500,200
5657,Magical Scientist,Monster,Effect,DARK,Spellcaster,1,300,300
5658,Royal Magical Library,Monster,Effect,LIGHT,Spellcaster,4,0,2000
5659,Armor Exe,Monster,Effect,LIGHT,Rock,4,2400,1400
5660,Tribe-Infecting Virus,Monster,Effect,WATER,Aqua,4,1600,1000
5661,Des Koala,Monster,Effect,DARK,Beast,3,1100,1800
5662,Cliff the Trap Remover,Monster,Effect,DARK,Warrior,3,1200,1000
5663,Magical Merchant,Monster,Effect,LIGHT,Insect,1,200,700
5664,Koitsu,Monster,Effect,WATER,Fairy,10,200,100
5665,Cat's Ear Tribe,Monster,Effect,EARTH,Beast-Warrior,1,200,100
5666,Ultimate Obedient Fiend,Monster,Effect,FIRE,Fiend,10,3500,3000
5667,Dark Cat with White Tail,Monster,Effect,EARTH,Beast,2,800,500
5687,Bowganian,Monster,Effect,DARK,Machine,3,1300,1000
5689,Metal Fiend Token,Monster,Token,DARK,Fiend,1,0,0
5695,Granadora,Monster,Effect,WATER,Reptile,4,1900,700
5697,"Shinato, King of a Higher Plane",Monster,Ritual,LIGHT,Fairy,8,3300,3000
5698,Dark Flare Knight,Monster,Fusion,DARK,Warrior,6,2200,800
5699,Mirage Knight,Monster,Effect,LIGHT,Warrior,8,2800,2000
5700,Berserk Dragon,Monster,Effect,DARK,Zombie,8,3500,0
5701,Exodia Necross,Monster,Effect,DARK,Spellcaster,4,1800,0
5702,Battle Footballer,Monster,Normal,FIRE,Machine,4,1000,2100
5703,Arsenal Summoner,Monster,Effect,WIND,Spellcaster,4,1600,1600
5704,Nin-Ken Dog,Monster,Normal,WIND,Beast-Warrior,4,1800,1000
5705,Acrobat Monkey,Monster,Normal,EARTH,Machine,3,1000,1800
5706,Guardian Elma,Monster,Effect,WIND,Fairy,3,1300,1200
5707,Guardian Ceal,Monster,Effect,FIRE,Pyro,4,1700,1400
5708,Guardian Grarl,Monster,Effect,EARTH,Dinosaur,5,2500,1000
5709,Guardian Baou,Monster,Effect,DARK,Fiend,4,800,400
5710,Guardian Kay'est,Monster,Effect,WATER,Sea Serpent,4,1000,1800
5711,Guardian Tryce,Monster,Effect,LIGHT,Thunder,5,1900,1700
5713,Gyaku-Gire Panda,Monster,Effect,EARTH,Beast,3,800,1600
5714,Blindly Loyal Goblin,Monster,Effect,EARTH,Warrior,4,1800,1500
5715,Despair from the Dark,Monster,Effect,DARK,Zombie,8,2800,3000
5716,Maju Garzett,Monster,Effect,DARK,Fiend,7,?,0
5717,Fear from the Dark,Monster,Effect,DARK,Zombie,4,1700,1500
5718,Dark Scorpion - Chick the Yellow,Monster,Effect,DARK,Warrior,3,1000,1000
5719,D.D. Warrior Lady,Monster,Effect,LIGHT,Warrior,4,1500,1600
5720,Thousand Needles,Monster,Effect,EARTH,Beast,4,1000,1800
5744,Ojama Token,Monster,Token,LIGHT,Beast,2,0,1000
5745,Ojama Token,Monster,Token,LIGHT,Beast,2,0,1000
5746,Ojama Token,Monster,Token,LIGHT,Beast,2,0,1000
5756,Dark Magician Knight,Monster,Effect,DARK,Warrior,7,2500,2100
5759,Gagagigo,Monster,Normal,WATER,Reptile,4,1850,1000
5760,D.D. Trainer,Monster,Normal,DARK,Fiend,1,100,2000
5761,Ojama Green,Monster,Normal,LIGHT,Beast,2,0,1000
5762,Archfiend Soldier,Monster,Normal,DARK,Fiend,4,1900,1500
5763,Pandemonium Watchbear,Monster,Effect,DARK,Beast,4,1300,1800
5764,Sasuke Samurai #2,Monster,Effect,WIND,Warrior,1,200,300
5765,Dark Scorpion - Gorg the Strong,Monster,Effect,DARK,Warrior,5,1800,1500
5766,Dark Scorpion - Meanae the Thorn,Monster,Effect,DARK,Warrior,4,1000,1800
5767,Outstanding Dog Marron,Monster,Effect,LIGHT,Beast,1,100,100
5768,Great Maju Garzett,Monster,Effect,DARK,Fiend,6,0,0
5769,Iron Blacksmith Kotetsu,Monster,Effect,FIRE,Beast-Warrior,2,500,500
5770,Goblin of Greed,Monster,Effect,EARTH,Fiend,4,1000,1800
5771,Mefist the Infernal General,Monster,Effect,DARK,Fiend,5,1800,1700
5772,Vilepawn Archfiend,Monster,Effect,EARTH,Fiend,2,1200,200
5773,Shadowknight Archfiend,Monster,Effect,WIND,Fiend,4,2000,1600
5774,Darkbishop Archfiend,Monster,Effect,WATER,Fiend,3,300,1400
5775,Desrook Archfiend,Monster,Effect,LIGHT,Fiend,3,1100,1800
5776,Infernalqueen Archfiend,Monster,Effect,FIRE,Fiend,4,900,1500
5777,Terrorking Archfiend,Monster,Effect,DARK,Fiend,4,2000,1500
5778,Skull Archfiend of Lightning,Monster,Effect,DARK,Fiend,6,2500,1200
5779,Metallizing Parasite - Lunatite,Monster,Effect,WATER,Aqua,7,1000,500
5780,Tsukuyomi,Monster,Effect,DARK,Spellcaster,4,1100,1400
5781,Legendary Flame Lord,Monster,Ritual,FIRE,Spellcaster,7,2400,2000
5782,Dark Master - Zorc,Monster,Ritual,DARK,Fiend,8,2700,1500
5803,Nightmare Penguin,Monster,Effect,WATER,Aqua,4,900,1800
5804,Perfect Machine King,Monster,Effect,EARTH,Machine,8,2700,1500
5810,Chiron the Mage,Monster,Effect,EARTH,Beast-Warrior,4,1800,1000
5811,Ojama Yellow,Monster,Normal,LIGHT,Beast,2,0,1000
5812,Ojama Black,Monster,Normal,LIGHT,Beast,2,0,1000
5813,Soul Tiger,Monster,Normal,EARTH,Beast,4,0,2100
5814,Big Koala,Monster,Normal,EARTH,Beast,7,2700,2000
5815,Des Kangaroo,Monster,Effect,DARK,Beast,4,1500,1700
5816,Crimson Ninja,Monster,Effect,EARTH,Warrior,1,300,300
5817,Strike Ninja,Monster,Effect,DARK,Warrior,4,1700,1200
5818,Gale Lizard,Monster,Effect,WATER,Reptile,4,1400,700
5819,Spirit of the Pot of Greed,Monster,Effect,LIGHT,Fairy,1,100,100
5820,Chopman the Desperate Outlaw,Monster,Effect,DARK,Zombie,3,1100,500
5821,Sasuke Samurai #3,Monster,Effect,LIGHT,Warrior,3,1000,1000
5822,D.D. Scout Plane,Monster,Effect,DARK,Machine,2,800,1200
5823,Berserk Gorilla,Monster,Effect,EARTH,Beast,4,2000,1000
5824,Freed the Brave Wanderer,Monster,Effect,LIGHT,Warrior,4,1700,1200
5825,Coach Goblin,Monster,Effect,EARTH,Fiend,4,1200,1500
5826,Witch Doctor of Chaos,Monster,Effect,DARK,Spellcaster,2,500,500
5827,Chaos Necromancer,Monster,Effect,DARK,Fiend,1,0,0
5828,Chaosrider Gustaph,Monster,Effect,WIND,Warrior,4,1400,1500
5829,Inferno,Monster,Effect,FIRE,Pyro,4,1100,1900
5830,Fenrir,Monster,Effect,WATER,Beast,4,1400,1200
5831,Gigantes,Monster,Effect,EARTH,Rock,4,1900,1300
5832,Silpheed,Monster,Effect,WIND,Fairy,4,1700,700
5833,Chaos Sorcerer,Monster,Effect,DARK,Spellcaster,6,2300,2000
5834,Gren Maju Da Eiza,Monster,Effect,FIRE,Fiend,3,?,?
5835,Black Luster Soldier - Envoy of the Beginning,Monster,Effect,LIGHT,Warrior,8,3000,2500
5860,Chaos Emperor Dragon - Envoy of the End,Monster,Effect,DARK,Dragon,8,3000,2500
5868,Victory Dragon,Monster,Effect,DARK,Dragon,8,2400,3000
5869,Magician's Valkyria,Monster,Effect,LIGHT,Spellcaster,4,1600,1800
5871,Giga Gagagigo,Monster,Normal,WATER,Reptile,5,2450,1500
5872,Mad Dog of Darkness,Monster,Normal,DARK,Beast,4,1900,1400
5873,Neo Bug,Monster,Normal,EARTH,Insect,4,1800,1700
5874,Sea Serpent Warrior of Darkness,Monster,Normal,WATER,Sea Serpent,4,1800,1500
